lambda_1_auth,lambda_2_index,lambda_3_verify,lambda_4_sync,lambda_5_queue,throughput_queries_per_second,fsn_utilization_stddev
0.1,0.0,0.4,0.0,0.5,10731.5332,0.079283
0.1,0.0,0.4,0.1,0.4,10939.174,0.069175
0.1,0.0,0.4,0.2,0.3,11063.0153,0.072045
0.1,0.0,0.4,0.3,0.2,11303.0661,0.076387
0.1,0.0,0.4,0.4,0.1,10864.3008,0.074456
0.1,0.0,0.4,0.5,0.0,11482.6079,0.069403
0.1,0.0,0.5,0.0,0.4,10257.5644,0.069552
0.1,0.0,0.5,0.1,0.3,10204.5471,0.064296
0.1,0.0,0.5,0.2,0.2,7850.1876,0.06996
0.1,0.0,0.5,0.3,0.1,10762.9384,0.066495
0.1,0.0,0.5,0.4,0.0,10337.6151,0.068589
0.1,0.0,0.6,0.0,0.3,10262.0054,0.0647
0.1,0.0,0.6,0.1,0.2,10787.9381,0.069635
0.1,0.0,0.6,0.2,0.1,10399.2566,0.077212
0.1,0.0,0.6,0.3,0.0,10819.594,0.082708
0.1,0.0,0.7,0.0,0.2,10733.4764,0.069326
0.1,0.0,0.7,0.1,0.1,10223.8899,0.065059
0.1,0.0,0.7,0.2,0.0,9550.0175,0.067495
0.1,0.0,0.8,0.0,0.1,10847.0705,0.078783
0.1,0.0,0.8,0.1,0.0,10900.2708,0.073242
0.1,0.0,0.9,0.0,0.0,11029.7471,0.081371
0.1,0.1,0.0,0.0,0.8,10938.1665,0.082468
0.1,0.1,0.0,0.1,0.7,10864.6006,0.081355
0.1,0.1,0.0,0.2,0.6,10828.1241,0.083399
0.1,0.1,0.0,0.3,0.5,10710.2216,0.082023
0.1,0.1,0.0,0.4,0.4,10794.041,0.084111
0.1,0.1,0.0,0.5,0.3,10790.5165,0.081345
0.1,0.1,0.0,0.6,0.2,10956.7344,0.081672
0.1,0.1,0.0,0.7,0.1,10867.2418,0.081988
0.1,0.1,0.0,0.8,0.0,10886.4321,0.084172
0.1,0.1,0.1,0.0,0.7,10279.9413,0.070896
0.1,0.1,0.1,0.1,0.6,10329.282,0.065257
0.1,0.1,0.1,0.2,0.5,10539.1369,0.07303
0.1,0.1,0.1,0.3,0.4,10962.9805,0.072274
0.1,0.1,0.1,0.4,0.3,9512.391,0.066364
0.1,0.1,0.1,0.5,0.2,10561.2368,0.080169
0.1,0.1,0.1,0.6,0.1,10792.6768,0.07731
0.1,0.1,0.1,0.7,0.0,10811.3298,0.071946
0.1,0.1,0.2,0.0,0.6,10774.0486,0.067694
0.1,0.1,0.2,0.1,0.5,10489.0576,0.074948
0.1,0.1,0.2,0.2,0.4,10131.0338,0.065503
0.1,0.1,0.2,0.3,0.3,11151.8588,0.06316
0.1,0.1,0.2,0.4,0.2,10772.9088,0.07082
0.1,0.1,0.2,0.5,0.1,11253.779,0.072187
0.1,0.1,0.2,0.6,0.0,11081.0752,0.080616
0.1,0.1,0.3,0.0,0.5,10870.7705,0.077717
0.1,0.1,0.3,0.1,0.4,10407.5037,0.07386
0.1,0.1,0.3,0.2,0.3,11264.5366,0.065074
0.1,0.1,0.3,0.3,0.2,10752.7425,0.078725
0.1,0.1,0.3,0.4,0.1,11126.8742,0.078676
0.1,0.1,0.3,0.5,0.0,10846.1881,0.071634
0.1,0.1,0.4,0.0,0.4,10920.309,0.06884
0.1,0.1,0.4,0.1,0.3,10920.383,0.069953
0.1,0.1,0.4,0.2,0.2,10554.63,0.077225
0.1,0.1,0.4,0.3,0.1,10304.1571,0.068694
0.1,0.1,0.4,0.4,0.0,10667.8046,0.084983
0.1,0.1,0.5,0.0,0.3,10939.6719,0.073955
0.1,0.1,0.5,0.1,0.2,10685.714,0.074886
0.1,0.1,0.5,0.2,0.1,10916.9829,0.072501
0.1,0.1,0.5,0.3,0.0,10516.1815,0.077154
0.1,0.1,0.6,0.0,0.2,10784.9572,0.074361
0.1,0.1,0.6,0.1,0.1,10401.0424,0.068582
0.1,0.1,0.6,0.2,0.0,10720.4864,0.082127
0.1,0.1,0.7,0.0,0.1,10223.5418,0.066585
0.1,0.1,0.7,0.1,0.0,11170.904,0.082478
0.1,0.1,0.8,0.0,0.0,10541.4211,0.077361
0.1,0.2,0.0,0.0,0.7,10878.6489,0.083252
0.1,0.2,0.0,0.1,0.6,10694.438,0.082441
0.1,0.2,0.0,0.2,0.5,10847.773,0.083747
0.1,0.2,0.0,0.3,0.4,10749.7141,0.082857
0.1,0.2,0.0,0.4,0.3,10825.7386,0.083551
0.1,0.2,0.0,0.5,0.2,11679.9029,0.08301
0.1,0.2,0.0,0.6,0.1,10877.223,0.082029
0.1,0.2,0.0,0.7,0.0,10899.1184,0.081774
0.1,0.2,0.1,0.0,0.6,10799.5046,0.07466
0.1,0.2,0.1,0.1,0.5,10319.0996,0.069322
0.1,0.2,0.1,0.2,0.4,10624.81,0.074856
0.1,0.2,0.1,0.3,0.3,10801.6988,0.078328
0.1,0.2,0.1,0.4,0.2,10736.8219,0.078287
0.1,0.2,0.1,0.5,0.1,10345.2382,0.064279
0.1,0.2,0.1,0.6,0.0,10994.1843,0.072722
0.1,0.2,0.2,0.0,0.5,10332.3461,0.065604
0.1,0.2,0.2,0.1,0.4,10993.4289,0.068103
0.1,0.2,0.2,0.2,0.3,10673.68,0.06673
0.1,0.2,0.2,0.3,0.2,10707.5346,0.073836
0.1,0.2,0.2,0.4,0.1,11154.4735,0.069254
0.1,0.2,0.2,0.5,0.0,10995.0619,0.074706
0.1,0.2,0.3,0.0,0.4,10629.9613,0.072747
0.1,0.2,0.3,0.1,0.3,10746.1781,0.076457
0.1,0.2,0.3,0.2,0.2,11071.5855,0.079407
0.1,0.2,0.3,0.3,0.1,11007.1413,0.072788
0.1,0.2,0.3,0.4,0.0,11010.3905,0.08077
0.1,0.2,0.4,0.0,0.3,11025.8628,0.069715
0.1,0.2,0.4,0.1,0.2,10988.5304,0.075202
0.1,0.2,0.4,0.2,0.1,10850.7616,0.071903
0.1,0.2,0.4,0.3,0.0,10802.8622,0.075023
0.1,0.2,0.5,0.0,0.2,11077.448,0.069985
0.1,0.2,0.5,0.1,0.1,10846.3211,0.075257
0.1,0.2,0.5,0.2,0.0,10979.2491,0.07243
0.1,0.2,0.6,0.0,0.1,10835.18,0.078851
0.1,0.2,0.6,0.1,0.0,10662.8985,0.077762
0.1,0.2,0.7,0.0,0.0,10840.7606,0.079373
0.1,0.3,0.0,0.0,0.6,10882.2726,0.084082
0.1,0.3,0.0,0.1,0.5,10988.8854,0.084289
0.1,0.3,0.0,0.2,0.4,11000.6136,0.081486
0.1,0.3,0.0,0.3,0.3,10961.75,0.082279
0.1,0.3,0.0,0.4,0.2,10893.4159,0.081659
0.1,0.3,0.0,0.5,0.1,10816.6506,0.081974
0.1,0.3,0.0,0.6,0.0,10827.6,0.08322
0.1,0.3,0.1,0.0,0.5,11019.9541,0.081742
0.1,0.3,0.1,0.1,0.4,11108.6524,0.072219
0.1,0.3,0.1,0.2,0.3,10840.7406,0.072716
0.1,0.3,0.1,0.3,0.2,10393.984,0.069491
0.1,0.3,0.1,0.4,0.1,10693.6878,0.081986
0.1,0.3,0.1,0.5,0.0,10434.1101,0.068444
0.1,0.3,0.2,0.0,0.4,11061.1932,0.075184
0.1,0.3,0.2,0.1,0.3,10513.2384,0.069299
0.1,0.3,0.2,0.2,0.2,10450.5613,0.071635
0.1,0.3,0.2,0.3,0.1,10622.2774,0.068636
0.1,0.3,0.2,0.4,0.0,10753.7346,0.070322
0.1,0.3,0.3,0.0,0.3,10577.4259,0.06676
0.1,0.3,0.3,0.1,0.2,11569.9255,0.071154
